#rank|epoch|iteration_no|event_id|event_operation|device_us|cpu_us|time_range_start_us|time_range_end_us|time_range_duration_us|self_cpu_memory_usage|self_cpu_percent|self_cpu_time_total|self_cpu_time_total_str|self_cuda_memory_usage|self_cuda_time_total|self_device_memory_usage|self_device_time_total|self_device_time_total_str|sequence_nr|stack|thread|total_cpu_percent|total_device_percent|use_device
0|1|1|184|Memset (Device)|8.61|0.00|766453.99|766462.60|8.61|0.00|-1.00|0.00|0.000us|0.00|8.61|0.00|8.61|8.608us|-1||1|-1.00|-1.00|cuda
0|1|1|185|turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn|797.85|0.00|766473.29|767271.14|797.85|0.00|-1.00|0.00|0.000us|0.00|797.85|0.00|797.85|797.853us|-1||1|-1.00|-1.00|cuda
0|1|1|186|void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)|129.82|0.00|767272.19|767402.02|129.82|0.00|-1.00|0.00|0.000us|0.00|129.82|0.00|129.82|129.824us|-1||1|-1.00|-1.00|cuda
0|1|1|187|ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)|13887.18|0.00|775474.40|789361.58|13887.18|0.00|-1.00|0.00|0.000us|0.00|13887.18|0.00|13887.18|13.887ms|-1||1|-1.00|-1.00|cuda
0|1|1|188|void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)|197.63|0.00|775474.46|775672.10|197.63|0.00|-1.00|0.00|0.000us|0.00|197.63|0.00|197.63|197.631us|-1||1|-1.00|-1.00|cuda
0|1|1|189|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|56.54|0.00|775672.61|775729.15|56.54|0.00|-1.00|0.00|0.000us|0.00|56.54|0.00|56.54|56.544us|-1||1|-1.00|-1.00|cuda
0|1|1|190|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|66.75|0.00|775729.76|775796.51|66.75|0.00|-1.00|0.00|0.000us|0.00|66.75|0.00|66.75|66.752us|-1||1|-1.00|-1.00|cuda
0|1|1|191|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|97.54|0.00|775804.45|775901.98|97.54|0.00|-1.00|0.00|0.000us|0.00|97.54|0.00|97.54|97.536us|-1||1|-1.00|-1.00|cuda
0|1|1|192|Memset (Device)|26.85|0.00|775939.45|775966.30|26.85|0.00|-1.00|0.00|0.000us|0.00|26.85|0.00|26.85|26.848us|-1||1|-1.00|-1.00|cuda
0|1|1|193|turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn|371.58|0.00|775995.23|776366.81|371.58|0.00|-1.00|0.00|0.000us|0.00|371.58|0.00|371.58|371.583us|-1||1|-1.00|-1.00|cuda
